Year,State_Code,State_Abbr,County_Code,County_Name,Commodity_Code,Commodity_Name,Insurance_Plan,Stage_Code,Col_1,Col_2,Cause_Code,Cause_Name,Month_Code,Month_Name,Col_3,Policies_Earning_Premium,Policies_Indemnified,Net_Planted_Acres,Net_Endorsed_Acres,Liability,Total_Premium,Producer_Premium,Subsidy,State_Private_Subsidy,Additional_Subsidy,EFA_Premium_Discount,Net_Determined_Acres,Indemnity,Loss_Ratio
2000,12,FL,1,Alachua                       ,41,CORN                          ,90,NULL,A,UH,31,Excess Moisture/Precipitation/Rain                                                                  ,3,MAR,,1,1,108.6,0,7243,1134,496,638,0,0,165,108.6,4866,4.29
2000,12,FL,11,Broward                       ,73,NURSERY (FG&C)                ,50,NULL,A,  ,31,Excess Moisture/Precipitation/Rain                                                                  ,8,AUG,2000,1,1,0,0,447076,36345,21398,14947,0,0,7133,0,9257,0.25
2000,12,FL,13,Calhoun                       ,75,PEANUTS                       ,10,NULL,A,R ,31,Excess Moisture/Precipitation/Rain                                                                  ,3,MAR,,1,1,576359,0,178671,12864,5625,7239,0,0,1875,300.5,17104,1.33
2000,12,FL,25,Dade                          ,44,FRESH MARKET SWEET CORN       ,50,NULL,A,2,31,Excess Moisture/Precipitation/Rain                                                                  ,10,OCT,,1,1,64.9,0,38940,2998.5,1630.5,1368,0,0,543.5,37.8,2498,0.83
2000,12,FL,25,Dade                          ,44,FRESH MARKET SWEET CORN       ,50,NULL,A,1,31,Excess Moisture/Precipitation/Rain                                                                  ,10,OCT,,3,3,236.5,0,132652,10453.5,5153.5,5300,0,0,1718.5,263.6,96793,9.26
2000,12,FL,25,Dade                          ,73,NURSERY (FG&C)                ,50,NULL,L,  ,31,Excess Moisture/Precipitation/Rain                                                                  ,7,JUL,2000,1,1,0,0,25644,877,350,527,0,0,117,0,8472,9.66
2000,12,FL,25,Dade                          ,73,NURSERY (FG&C)                ,50,NULL,A,  ,31,Excess Moisture/Precipitation/Rain                                                                  ,7,JUL,2000,3,3,0,0,2505512,128693,74014,54679,0,0,24672,0,138991,1.08
2000,12,FL,25,Dade                          ,73,NURSERY (FG&C)                ,50,NULL,A,  ,31,Excess Moisture/Precipitation/Rain                                                                  ,9,SEP,2000,1,1,0,0,950335,75997,44742,31255,0,0,14915,0,88049,1.16
2000,12,FL,25,Dade                          ,73,NURSERY (FG&C)                ,50,NULL,A,  ,31,Excess Moisture/Precipitation/Rain                                                                  ,10,OCT,1999,5,5,0,0,4130487,205851,121192,84659,0,0,40399,0,384820,1.87
2000,12,FL,25,Dade                          ,84,POTATOES                      ,86,NULL,A,H ,31,Excess Moisture/Precipitation/Rain                                                                  ,0,   ,,1,0,48.1,0,155856,19638.5,10678,8960.5,0,0,3559.5,41.5,0,0
2000,12,FL,25,Dade                          ,84,POTATOES                      ,86,NULL,A,UH,31,Excess Moisture/Precipitation/Rain                                                                  ,4,APR,,1,1,48.1,0,155856,19638.5,10678,8960.5,0,0,3559.5,41.7,73202,3.73
2000,12,FL,25,Dade                          ,84,POTATOES                      ,86,NULL,A,H ,31,Excess Moisture/Precipitation/Rain                                                                  ,4,APR,,1,1,33.05,0,107088,13493.5,7337,6156.5,0,0,2445.5,13,14532,1.08
2000,12,FL,25,Dade                          ,105,FRESH MARKET BEANS            ,50,NULL,A,UH,31,Excess Moisture/Precipitation/Rain                                                                  ,4,APR,,5,5,274.91,0,305899.095,45353.555,24341.275,21012.28,0,0,8115.745,164.803,165224.2,3.64
2000,12,FL,25,Dade                          ,105,FRESH MARKET BEANS            ,50,NULL,A,UH,31,Excess Moisture/Precipitation/Rain                                                                  ,3,MAR,,3,3,143.3,0,161212.5,21141,11496,9645,0,0,3832,143.8,141915,6.71
2000,12,FL,25,Dade                          ,105,FRESH MARKET BEANS            ,50,NULL,A,H ,31,Excess Moisture/Precipitation/Rain                                                                  ,4,APR,,5,5,324.535,0,357467.72,48004.18,25677.025,22327.155,0,0,8560.12,404.042,381537.17,7.95
2000,12,FL,25,Dade                          ,105,FRESH MARKET BEANS            ,50,NULL,A,H ,31,Excess Moisture/Precipitation/Rain                                                                  ,3,MAR,,2,2,69.5,0,78187.5,11751,6390,5361,0,0,2130,69,56841,4.84
2000,12,FL,25,Dade                          ,212,AVOCADO TREES                 ,40,NULL,C,3,31,Excess Moisture/Precipitation/Rain                                                                  ,10,OCT,,1,1,656,0,3608,90,0,90,0,0,0,1,223,2.48
2000,12,FL,25,Dade                          ,212,AVOCADO TREES                 ,40,NULL,A,3,31,Excess Moisture/Precipitation/Rain                                                                  ,10,OCT,,2,2,625,0,9375,394,206,188,0,0,69,2,3410,8.65
2000,12,FL,33,Escambia                      ,41,CORN                          ,90,NULL,L,H ,31,Excess Moisture/Precipitation/Rain                                                                  ,3,MAR,,1,1,17,0,1826,137,46,91,0,0,16,17,401,2.93
2000,12,FL,33,Escambia                      ,41,CORN                          ,90,NULL,C,UH,31,Excess Moisture/Precipitation/Rain                                                                  ,3,MAR,,1,1,181,0,11309,763,0,763,0,0,0,181,8308,10.89
2000,12,FL,35,Flagler                       ,9999,All Other Crops               ,90,NULL,C,H ,31,Excess Moisture/Precipitation/Rain                                                                  ,9,SEP,,1,1,289.2,0,13817,1393,0,1393,0,0,0,289.2,3879,2.78
2000,12,FL,35,Flagler                       ,9999,All Other Crops               ,86,NULL,A,UH,31,Excess Moisture/Precipitation/Rain                                                                  ,3,MAR,,2,2,258,0,354830,23218.5,10047.5,13171,0,0,3349.5,249,264712,11.4
2000,12,FL,35,Flagler                       ,9999,All Other Crops               ,86,NULL,L,H ,31,Excess Moisture/Precipitation/Rain                                                                  ,3,MAR,,4,4,536.4,0,678304,43410,19923,23487,0,0,6643,536.4,339037,7.81
2000,12,FL,35,Flagler                       ,9999,All Other Crops               ,86,NULL,A,H ,31,Excess Moisture/Precipitation/Rain                                                                  ,3,MAR,,6,6,1003.8,0,1589770,101801.5,44049.5,57752,0,0,14689.5,1012.8,1147991,11.28
2000,12,FL,35,Flagler                       ,9999,All Other Crops               ,86,NULL,A,H ,31,Excess Moisture/Precipitation/Rain                                                                  ,0,   ,,1,0,62.3,0,102170,6539,2830,3709,0,0,943,62.3,0,0
2000,12,FL,35,Flagler                       ,9999,All Other Crops               ,90,NULL,A,H ,31,Excess Moisture/Precipitation/Rain                                                                  ,8,AUG,,1,1,138.4,0,12826,3414,1493,1921,0,0,498,138.4,9584,2.81
2000,12,FL,41,Gilchrist                     ,41,CORN                          ,90,NULL,A,UH,31,Excess Moisture/Precipitation/Rain                                                                  ,3,MAR,,1,1,202.5,0,14687,2487,1087,1400,0,0,363,202.5,14687,5.91
2000,12,FL,47,Hamilton                      ,41,CORN                          ,90,NULL,A,UH,31,Excess Moisture/Precipitation/Rain                                                                  ,3,MAR,,1,1,55.2,0,3074,938,410,528,0,0,137,55.2,2654,2.83
2000,12,FL,51,Hendry                        ,86,FRESH MARKET TOMATOES         ,50,NULL,L,4,31,Excess Moisture/Precipitation/Rain                                                                  ,10,OCT,,1,1,26,0,72540,7506,3513,3993,0,0,1171,26,4326,0.58
2000,12,FL,51,Hendry                        ,9999,All Other Crops               ,50,NULL,A,  ,31,Excess Moisture/Precipitation/Rain                                                                  ,10,OCT,1999,1,1,0,0,218141,16099,9478,6621,0,0,3160,0,149874,9.31
2000,12,FL,59,Holmes                        ,75,PEANUTS                       ,10,NULL,A,UH,31,Excess Moisture/Precipitation/Rain                                                                  ,3,MAR,,1,1,96722,0,31907,6222,3570,2652,0,0,1190,64,29406,4.73
2000,12,FL,59,Holmes                        ,86,FRESH MARKET TOMATOES         ,86,NULL,A,3,31,Excess Moisture/Precipitation/Rain                                                                  ,6,JUN,,1,1,2.5,0,5304,710.5,307,403.5,0,0,103,2,2791,3.93
2000,12,FL,59,Holmes                        ,86,FRESH MARKET TOMATOES         ,86,NULL,A,4,31,Excess Moisture/Precipitation/Rain                                                                  ,6,JUN,,2,2,6.1,0,12578,1810.5,783,1027.5,0,0,262,6.6,12188,6.73
2000,12,FL,63,Jackson                       ,21,COTTON                        ,44,NULL,A,UH,31,Excess Moisture/Precipitation/Rain                                                                  ,3,MAR,,4,4,781.9,0,184072.5,50484,24560.5,25923.5,0,0,8189.5,783.9,157857,3.13
2000,12,FL,63,Jackson                       ,21,COTTON                        ,90,NULL,A,UH,31,Excess Moisture/Precipitation/Rain                                                                  ,3,MAR,,1,1,27.5,0,7928,1380,603,777,0,0,201,27.5,5513,3.99
2000,12,FL,63,Jackson                       ,41,CORN                          ,90,NULL,C,UH,31,Excess Moisture/Precipitation/Rain                                                                  ,3,MAR,,4,4,88.6,0,2394,415,0,415,0,0,0,88.6,2172,5.23
2000,12,FL,63,Jackson                       ,41,CORN                          ,90,NULL,A,UH,31,Excess Moisture/Precipitation/Rain                                                                  ,3,MAR,,1,1,9,0,648,123,53,70,0,0,18,9,648,5.27
2000,12,FL,63,Jackson                       ,41,CORN                          ,90,NULL,C,UH,31,Excess Moisture/Precipitation/Rain                                                                  ,5,MAY,,1,1,22,0,705,81,0,81,0,0,0,22,705,8.7
2000,12,FL,63,Jackson                       ,75,PEANUTS                       ,10,NULL,A,H ,31,Excess Moisture/Precipitation/Rain                                                                  ,7,JUL,,1,1,4642,0,1608,138,60,78,0,0,20,3.4,104,0.75
2000,12,FL,65,Jefferson                     ,229,FLUE CURED TOBACCO            ,30,NULL,A,H ,31,Excess Moisture/Precipitation/Rain                                                                  ,7,JUL,,1,1,22.85,0,75186,3082,1768,1314,0,0,590,22.85,29518,9.58
2000,12,FL,69,Lake                          ,73,NURSERY (FG&C)                ,50,NULL,A,  ,31,Excess Moisture/Precipitation/Rain                                                                  ,10,OCT,1999,1,1,0,0,277500,20480,12058,8422,0,0,4019,0,21685,1.06
2000,12,FL,83,Marion                        ,75,PEANUTS                       ,10,NULL,A,P2,31,Excess Moisture/Precipitation/Rain                                                                  ,3,MAR,,1,1,64360,0,43963,5288,2312,2976,0,0,771,188.8,43962,8.31
2000,12,FL,85,Martin                        ,83,PEPPERS                       ,50,NULL,A,1,31,Excess Moisture/Precipitation/Rain                                                                  ,10,OCT,,1,1,110.8666667,0,380272.6667,50766.33333,25015,25751.33333,0,0,8338.333333,80,178400,3.51
2000,12,FL,85,Martin                        ,83,PEPPERS                       ,50,NULL,A,2,31,Excess Moisture/Precipitation/Rain                                                                  ,10,OCT,,1,1,140.5666667,0,482143.6667,64366.33333,31716,32650.33333,0,0,10572.33333,224,653184,10.15
2000,12,FL,85,Martin                        ,83,PEPPERS                       ,50,NULL,A,3,31,Excess Moisture/Precipitation/Rain                                                                  ,10,OCT,,1,1,110.8666667,0,380272.6667,50766.33333,25015,25751.33333,0,0,8338.333333,58.3,199610,3.93
2000,12,FL,95,Orange                        ,9999,All Other Crops               ,50,NULL,A,2,31,Excess Moisture/Precipitation/Rain                                                                  ,8,AUG,,1,1,136.1,0,70772,6879,2977,3902,0,0,992,136.1,70068,10.19
2000,12,FL,99,Palm Beach                    ,44,FRESH MARKET SWEET CORN       ,50,NULL,A,1,31,Excess Moisture/Precipitation/Rain                                                                  ,3,MAR,,1,1,33,0,17160,1465,634,831,0,0,211,33,11154,7.61
2000,12,FL,99,Palm Beach                    ,44,FRESH MARKET SWEET CORN       ,50,NULL,A,2,31,Excess Moisture/Precipitation/Rain                                                                  ,4,APR,,1,1,34,0,17680,1510,653,857,0,0,218,34,17680,11.71
2000,12,FL,99,Palm Beach                    ,44,FRESH MARKET SWEET CORN       ,50,NULL,L,R ,31,Excess Moisture/Precipitation/Rain                                                                  ,9,SEP,,1,1,135.1,0,54040,3956,1334,2622,0,0,446,30,3751,0.95
