County_Code,County_Name,Irrigated,Non-Irrigated,Other,Total_Indemnity,Pct_Irrigated,GEOID,County_Name_clean,Total_Determined_Acres,cluster,cluster_display
1,Alachua,4203869,3988458,1832765.0,10025092.0,41.9,12001,Alachua,17981.91944,2,3
101,Pasco,678973,1935311,1028428.0,3642712.0,18.6,12101,Pasco,35.5,2,3
105,Polk,2911549,5539878,27025704.0,35477131.0,8.2,12105,Polk,38416.231999999996,1,2
107,Putnam,850923,770236,196973.0,1818132.0,46.8,12107,Putnam,8188.433,2,3
109,St Johns,1331897,43415,2837.0,1378149.0,96.6,12109,St Johns,15188.2589,2,3
11,Broward,0,0,0.0,0.0,,12011,Broward,251.0,2,3
111,St Lucie,0,2747279,7954979.0,10702258.0,0.0,12111,St Lucie,121441.85,0,1
113,Santa Rosa,22739,9578327,0.0,9601066.0,0.2,12113,Santa Rosa,69270.2429,2,3
115,Sarasota,0,1161910,932740.0,2094650.0,0.0,12115,Sarasota,1604.9835489999998,2,3
117,Seminole,0,49058,182631.0,231689.0,0.0,12117,Seminole,16.88,2,3
119,Sumter,467782,2097042,1444553.0,4009377.0,11.7,12119,Sumter,523.38,2,3
121,Suwannee,5603896,2637094,2197833.1,10438823.1,53.7,12121,Suwannee,13718.263,2,3
127,Volusia,0,451436,476588.0,928024.0,0.0,12127,Volusia,0.0,2,3
13,Calhoun,1200599,8196957,68809.0,9466365.0,12.7,12013,Calhoun,61772.53,2,3
131,Walton,1531,2913681,30031.0,2945243.0,0.1,12131,Walton,38291.033,2,3
133,Washington,29855,3759855,32152.0,3821862.0,0.8,12133,Washington,25055.676,2,3
15,Charlotte,22280084,2044647,6817170.0,31141901.0,71.5,12015,Charlotte,36313.991,1,2
17,Citrus,20733,388781,135997.0,545511.0,3.8,12017,Citrus,0.0,2,3
21,Collier,23924109,926197,7761871.0,32612177.0,73.4,12021,Collier,32552.708,1,2
23,Columbia,622539,2184305,233484.0,3040328.0,20.5,12023,Columbia,20364.788,2,3
27,De Soto,110738,6201114,23139136.0,29450988.0,0.4,12027,De Soto,163676.31,0,1
29,Dixie,277538,153430,193634.0,624602.0,44.4,12029,Dixie,9000.81,2,3
33,Escambia,880774,4187109,0.0,5067883.0,17.4,12033,Escambia,55845.8504,2,3
35,Flagler,185634,194935,65832.0,446401.0,41.6,12035,Flagler,8504.36,2,3
39,Gadsden,1755158,720307,40816.0,2516281.0,69.8,12039,Gadsden,11190.15,2,3
41,Gilchrist,4372129,3691536,1287846.0,9351511.0,46.8,12041,Gilchrist,13016.85,2,3
43,Glades,2421068,2877765,2990601.0,8289434.0,29.2,12043,Glades,934.62,2,3
47,Hamilton,3370076,460169,163574.0,3993819.0,84.4,12047,Hamilton,4604.2574,2,3
49,Hardee,8304919,6613827,15263544.0,30182290.0,27.5,12049,Hardee,15802.503999999999,1,2
51,Hendry,35943022,5901046,8703360.0,50547428.0,71.1,12051,Hendry,43408.58,1,2
53,Hernando,0,288321,65143.0,353464.0,0.0,12053,Hernando,4.152,2,3
55,Highlands,34538,5803185,15892010.0,21729733.0,0.2,12055,Highlands,41765.4,1,2
57,Hillsborough,13615693,989280,920619.0,15525592.0,87.7,12057,Hillsborough,17321.626,2,3
59,Holmes,236724,6243874,18684.0,6499282.0,3.6,12059,Holmes,69093.168,2,3
61,Indian River,0,1127819,5655625.0,6783444.0,0.0,12061,Indian River,122280.275,0,1
63,Jackson,10717536,30955322,164545.0,41837403.0,25.6,12063,Jackson,250513.8599,0,1
65,Jefferson,332852,1104799,61296.0,1498947.0,22.2,12065,Jefferson,5093.048,2,3
67,Lafayette,2464865,1125066,319852.0,3909783.0,63.0,12067,Lafayette,6476.19,2,3
69,Lake,515533,2684616,1727219.0,4927368.0,10.5,12069,Lake,52.9,2,3
71,Lee,1276195,733782,794310.0,2804287.0,45.5,12071,Lee,2039.393,2,3
73,Leon,27753,5327,21433.0,54513.0,50.9,12073,Leon,571.8249999999999,2,3
75,Levy,1667961,5048378,1036078.0,7752417.0,21.5,12075,Levy,21667.038,2,3
77,Liberty,0,0,82192.0,82192.0,0.0,12077,Liberty,331.9,2,3
79,Madison,4353920,1274604,61347.0,5689871.0,76.5,12079,Madison,5566.9988,2,3
81,Manatee,8518749,3155899,3315373.0,14990021.0,56.8,12081,Manatee,29039.446,2,3
83,Marion,774377,3012491,813248.0,4600116.0,16.8,12083,Marion,12378.0975,2,3
85,Martin,737084,2144221,2153207.0,5034512.0,14.6,12085,Martin,23224.9688,2,3
86,Miami - Dade,908484,284194,24899467.0,26092145.0,3.5,12086,Dade,14486.594000000001,1,2
89,Nassau,176925,78998,5009.0,260932.0,67.8,12089,Nassau,1565.77,2,3
9,Brevard,0,568877,1670924.0,2239801.0,0.0,12009,Brevard,9368.2,2,3
91,Okaloosa,55570,1788075,0.0,1843645.0,3.0,12091,Okaloosa,19621.2095,2,3
93,Okeechobee,275889,9489194,6234429.0,15999512.0,1.7,12093,Okeechobee,20988.69,2,3
95,Orange,0,130612,396334.0,526946.0,0.0,12095,Orange,145.1,2,3
97,Osceola,0,7802426,3211007.0,11013433.0,0.0,12097,Osceola,148726.1,0,1
99,Palm Beach,29156381,0,1619345.0,30775726.0,94.7,12099,Palm Beach,18188.013,1,2
