County_Code,County_Name,Irrigated,Non-Irrigated,Other,Total_Indemnity,Pct_Irrigated,GEOID
1,Alachua,4203869,3988458,1832765,10025092,41.9,12001
101,Pasco,678973,1935311,1028428,3642712,18.6,12101
105,Polk,2911549,5539878,27025704,35477131,8.2,12105
107,Putnam,850923,770236,196973,1818132,46.8,12107
109,St Johns,1331897,43415,2837,1378149,96.6,12109
11,Broward,0,0,0,0,,12011
111,St Lucie,0,2747279,7954979,10702258,0,12111
113,Santa Rosa,22739,9578327,0,9601066,0.2,12113
115,Sarasota,0,1161910,932740,2094650,0,12115
117,Seminole,0,49058,182631,231689,0,12117
119,Sumter,467782,2097042,1444553,4009377,11.7,12119
121,Suwannee,5603896,2637094,2197833.1,10438823.1,53.7,12121
127,Volusia,0,451436,476588,928024,0,12127
13,Calhoun,1200599,8196957,68809,9466365,12.7,12013
131,Walton,1531,2913681,30031,2945243,0.1,12131
133,Washington,29855,3759855,32152,3821862,0.8,12133
15,Charlotte,22280084,2044647,6817170,31141901,71.5,12015
17,Citrus,20733,388781,135997,545511,3.8,12017
21,Collier,23924109,926197,7761871,32612177,73.4,12021
23,Columbia,622539,2184305,233484,3040328,20.5,12023
27,De Soto,110738,6201114,23139136,29450988,0.4,12027
29,Dixie,277538,153430,193634,624602,44.4,12029
33,Escambia,880774,4187109,0,5067883,17.4,12033
35,Flagler,185634,194935,65832,446401,41.6,12035
39,Gadsden,1755158,720307,40816,2516281,69.8,12039
41,Gilchrist,4372129,3691536,1287846,9351511,46.8,12041
43,Glades,2421068,2877765,2990601,8289434,29.2,12043
47,Hamilton,3370076,460169,163574,3993819,84.4,12047
49,Hardee,8304919,6613827,15263544,30182290,27.5,12049
51,Hendry,35943022,5901046,8703360,50547428,71.1,12051
53,Hernando,0,288321,65143,353464,0,12053
55,Highlands,34538,5803185,15892010,21729733,0.2,12055
57,Hillsborough,13615693,989280,920619,15525592,87.7,12057
59,Holmes,236724,6243874,18684,6499282,3.6,12059
61,Indian River,0,1127819,5655625,6783444,0,12061
63,Jackson,10717536,30955322,164545,41837403,25.6,12063
65,Jefferson,332852,1104799,61296,1498947,22.2,12065
67,Lafayette,2464865,1125066,319852,3909783,63,12067
69,Lake,515533,2684616,1727219,4927368,10.5,12069
71,Lee,1276195,733782,794310,2804287,45.5,12071
73,Leon,27753,5327,21433,54513,50.9,12073
75,Levy,1667961,5048378,1036078,7752417,21.5,12075
77,Liberty,0,0,82192,82192,0,12077
79,Madison,4353920,1274604,61347,5689871,76.5,12079
81,Manatee,8518749,3155899,3315373,14990021,56.8,12081
83,Marion,774377,3012491,813248,4600116,16.8,12083
85,Martin,737084,2144221,2153207,5034512,14.6,12085
86,Miami - Dade,908484,284194,24899467,26092145,3.5,12086
89,Nassau,176925,78998,5009,260932,67.8,12089
9,Brevard,0,568877,1670924,2239801,0,12009
91,Okaloosa,55570,1788075,0,1843645,3,12091
93,Okeechobee,275889,9489194,6234429,15999512,1.7,12093
95,Orange,0,130612,396334,526946,0,12095
97,Osceola,0,7802426,3211007,11013433,0,12097
99,Palm Beach,29156381,0,1619345,30775726,94.7,12099
