County_Code,County_Name,Irrigated,Non-Irrigated,Other,Total_Indemnity,Pct_Irrigated,GEOID,cluster
1,Alachua,4203869,3988458,1832765.0,10025092.0,41.9,12001,2
101,Pasco,678973,1935311,1028428.0,3642712.0,18.6,12101,0
105,Polk,2911549,5539878,27025704.0,35477131.0,8.2,12105,1
107,Putnam,850923,770236,196973.0,1818132.0,46.8,12107,0
109,St Johns,1331897,43415,2837.0,1378149.0,96.6,12109,0
11,Broward,0,0,0.0,0.0,,12011,0
111,St Lucie,0,2747279,7954979.0,10702258.0,0.0,12111,2
113,Santa Rosa,22739,9578327,0.0,9601066.0,0.2,12113,2
115,Sarasota,0,1161910,932740.0,2094650.0,0.0,12115,0
117,Seminole,0,49058,182631.0,231689.0,0.0,12117,0
119,Sumter,467782,2097042,1444553.0,4009377.0,11.7,12119,0
121,Suwannee,5603896,2637094,2197833.1,10438823.1,53.7,12121,2
127,Volusia,0,451436,476588.0,928024.0,0.0,12127,0
13,Calhoun,1200599,8196957,68809.0,9466365.0,12.7,12013,2
131,Walton,1531,2913681,30031.0,2945243.0,0.1,12131,0
133,Washington,29855,3759855,32152.0,3821862.0,0.8,12133,0
15,Charlotte,22280084,2044647,6817170.0,31141901.0,71.5,12015,1
17,Citrus,20733,388781,135997.0,545511.0,3.8,12017,0
21,Collier,23924109,926197,7761871.0,32612177.0,73.4,12021,1
23,Columbia,622539,2184305,233484.0,3040328.0,20.5,12023,0
27,De Soto,110738,6201114,23139136.0,29450988.0,0.4,12027,1
29,Dixie,277538,153430,193634.0,624602.0,44.4,12029,0
33,Escambia,880774,4187109,0.0,5067883.0,17.4,12033,0
35,Flagler,185634,194935,65832.0,446401.0,41.6,12035,0
39,Gadsden,1755158,720307,40816.0,2516281.0,69.8,12039,0
41,Gilchrist,4372129,3691536,1287846.0,9351511.0,46.8,12041,2
43,Glades,2421068,2877765,2990601.0,8289434.0,29.2,12043,2
47,Hamilton,3370076,460169,163574.0,3993819.0,84.4,12047,0
49,Hardee,8304919,6613827,15263544.0,30182290.0,27.5,12049,1
51,Hendry,35943022,5901046,8703360.0,50547428.0,71.1,12051,1
53,Hernando,0,288321,65143.0,353464.0,0.0,12053,0
55,Highlands,34538,5803185,15892010.0,21729733.0,0.2,12055,2
57,Hillsborough,13615693,989280,920619.0,15525592.0,87.7,12057,2
59,Holmes,236724,6243874,18684.0,6499282.0,3.6,12059,0
61,Indian River,0,1127819,5655625.0,6783444.0,0.0,12061,0
63,Jackson,10717536,30955322,164545.0,41837403.0,25.6,12063,1
65,Jefferson,332852,1104799,61296.0,1498947.0,22.2,12065,0
67,Lafayette,2464865,1125066,319852.0,3909783.0,63.0,12067,0
69,Lake,515533,2684616,1727219.0,4927368.0,10.5,12069,0
71,Lee,1276195,733782,794310.0,2804287.0,45.5,12071,0
73,Leon,27753,5327,21433.0,54513.0,50.9,12073,0
75,Levy,1667961,5048378,1036078.0,7752417.0,21.5,12075,2
77,Liberty,0,0,82192.0,82192.0,0.0,12077,0
79,Madison,4353920,1274604,61347.0,5689871.0,76.5,12079,0
81,Manatee,8518749,3155899,3315373.0,14990021.0,56.8,12081,2
83,Marion,774377,3012491,813248.0,4600116.0,16.8,12083,0
85,Martin,737084,2144221,2153207.0,5034512.0,14.6,12085,0
86,Miami - Dade,908484,284194,24899467.0,26092145.0,3.5,12086,1
89,Nassau,176925,78998,5009.0,260932.0,67.8,12089,0
9,Brevard,0,568877,1670924.0,2239801.0,0.0,12009,0
91,Okaloosa,55570,1788075,0.0,1843645.0,3.0,12091,0
93,Okeechobee,275889,9489194,6234429.0,15999512.0,1.7,12093,2
95,Orange,0,130612,396334.0,526946.0,0.0,12095,0
97,Osceola,0,7802426,3211007.0,11013433.0,0.0,12097,2
99,Palm Beach,29156381,0,1619345.0,30775726.0,94.7,12099,1
